SpriteSheet	SpriteName	English Naomi ver	EN Community Translation Ver	Zh-Hans	Zh-Hant	de	es	fr	hu	ja	ko	ru	pt-br	uk	it	th	tr	sv	sk
CoffeeBean_3	(Brow6)	Brow 6	Brow 6	眉毛 6	眉毛 6														
CoffeeBean_5	(PopperConfetti2)	Celebration Emote Confetti 2	Confetti 2	彩纸 2	彩色紙屑 2														
CoffeeBean_10	(Swatter)	Swatter Emote Swatter	Swatter	拍子	拍子														
CoffeeBean_9	(Fin1_Outline)	Fin 1 Outline	Fin Outline	鳍 轮廓	鰭 輪廓														
CoffeeBean_4	(HairShine3_Color)	Hair Shine 5 + 6 Colour	Hair Shine 5 + 6	头发 高光 5 + 6	頭髮 高光 5 + 6														
CoffeeBean_11	(TailB1_Color)	Tail 3 Colour	Tail 3	尾巴 3	尾巴 3														
CoffeeBean_12	(HammerEffect2)	Bonk Emote Hammer Effect 2	Hammer 2	锤子 2	錘子 2														
CoffeeBean_5	(Mecha1_Outline)	Mecha 1 Outline	Mecha Outline 1	机械 轮廓 1	機械 輪廓 1														
CoffeeBean_3	(Pigtail_A4_Outline)	Hair Pigtail 7 + 8 Outline	Hair Pigtail Outline 7 + 8	头发 马尾 轮廓 7 + 8	頭髮 馬尾 輪廓 7 + 8														
CoffeeBean_3	(HatC1_Outline)	Hat 6 + 7 Outline	Hat Outline 6 + 7	帽子 轮廓 6 + 7	帽子 輪廓 6 + 7														
CoffeeBean_7	(Pigtail_B1_Color)	Hair Pigtail 17 Colour	Hair Pigtail 17	头发 马尾 17	頭髮 馬尾 17														
CoffeeBean_7	(Flash)	Gun Emote Flash	Gun Flash	枪口闪光	槍口閃光														
CoffeeBean_7	(Brow4)	Brows 4	Brow 4	眉毛 4	眉毛 4														
CoffeeBean_5	(CortisolMeterPointer)	Cortisol Emote Meter Pointer	Dance (Low Cortisol) 1	跳舞(低皮质醇) 1	跳舞(低皮質醇) 1														
CoffeeBean_2	(Hand_Line1)	Hand Outline Top Finger Line	Hand 1 .6	手 1 .6	手 1 .6														
CoffeeBean_9	(RedPacketCoin4)	Red Packet 1 Emote Coin 4	RedPacket 4	红包 4	紅包 4														
CoffeeBean_2	(Cheek4)	Cheek 4 Lines	Cheek 4	脸颊 4	臉頰 4														
CoffeeBean_2	(FaceFeatureB3)	Face Feature B 3	Face Feature B 3	脸部特征 B 3	臉部特徵 B 3														
CoffeeBean	(Brow2)	Brows 2	Brow 2	眉毛 2	眉毛 2														
CoffeeBean_11	(StickyNote)	Dum Sticker Emotes Sticky Note	Sticky Note	表情贴纸 便签	表情貼紙 便利貼														
CoffeeBean_7	(Loading_Outline)	Loading Emote Outline	Sticker Loading 2	表情贴纸 加载 2	表情貼紙 載入 2														
CoffeeBean_7	(Collar6_Outline)	Outfit Collar Inner 6 + 7 Outline	Outfit Collar Outline 6 + 7	服装 领子 轮廓 6 + 7	服裝 領子 輪廓 6 + 7														
CoffeeBean_11	(CapeBack3_Color)	Cape Back 3 Colour	Cape Back 3	披风 后 3	披風 後 3														
CoffeeBean_4	(SideHairB6_Outline)	Hair Side 27 + 28 Outline	Hair Side Outline 27 + 28	头发 侧面 轮廓 27 + 28	頭髮 側面 輪廓 27 + 28														
CoffeeBean_4	(PonytailA1_Outline)	Ponytail 1 + 2 Outline	Hair Ponytail Outline 1 + 2	头发 单马尾 轮廓 1 + 2	頭髮馬尾辮輪廓 1 + 2														
CoffeeBean_5	(PonytailA2_Color)	Ponytail 3 Colour	Hair Ponytail 3	头发 单马尾 3	頭髮馬尾辮 3														
CoffeeBean_3	(SideHairA2_Color)	Hair Side 3 Colour	Hair Side 3	头发 侧面 3	頭髮 側面 3														
CoffeeBean_9	(GiftBoxLid)	Gift Emote Box Lid	Gift 2	礼物 2	禮物 2														
CoffeeBean_12	(Collar4_Color)	Outfit Collar Inner 4 Colour	Outfit Collar Inner 4	服装 领子 里侧 4	服裝 領子 內側 4														
CoffeeBean_10	(WingE1_Upper_Color)	Wing 8 Top Colour	Wing 8 .1	翅膀 8 .1	翅膀 8 .1														
CoffeeBean_12	(WingA1_Color)	Wing 1 Colour	Wing 1	翅膀 1	翅膀 1														
CoffeeBean_11	(FrameHair_B4_Outline)	Hair Framing 29 + 30 Outline	Hair Framing Outline 29 + 30	头发 脸颊 轮廓 29 + 30	頭髮 臉頰 輪廓 29 + 30														
CoffeeBean_12	(FrameHair_Branch_A1_Color)	Hair Branch 1 Colour	Hair Branch 1	头发 分叉 1	頭髮 分叉 1														
CoffeeBean_3	(SideHairA7_Gradient)	Hair Side 14 Colour	Hair Side 14	头发 侧面 14	頭髮 側面 14														
CoffeeBean_3	(Wing2_Color)	Ear Wing 2 Colour	Ear Wing 2	翅膀耳朵 2	翅膀耳朵 2														
CoffeeBean_9	(TailA1_Color)	Tail 1 Colour	Tail 1	尾巴 1	尾巴 1														
CoffeeBean_6	(Eye3_Heart)	Luv 1 Emote Eye 3 Heart	Eye Heart 3	眼睛 爱心 3	眼睛 愛心 3														
CoffeeBean_10	(FrameHair_A8_Outline)	Hair Framing 15 + 16 Outline	Hair Framing Outline 15 + 16	头发 脸颊 轮廓 15 + 16	頭髮 臉頰 輪廓 15 + 16														
CoffeeBean_10	(DrawingTablet)	Tablet Emote Tablet	Tablet	画板	繪圖板														
CoffeeBean	(FaceFeatureA2)	Face Feature A 2	Face Feature A 2	脸部特征 A 2	臉部特徵 A 2														
CoffeeBean	(PiercingA2_Color)	Piercing A + B 2 Colour	Piercing 2	耳钉 2	耳釘 2														
CoffeeBean_2	(Eye_Popcat_Highlight)	Popcat Emote Eye Highlight																	
CoffeeBean_4	(Hairband3_Outline)	Hairband B 1 Outline	Hairband B Outline 1	发带 B 轮廓 1	髮帶 B 輪廓 1														
CoffeeBean_11	(NeckwearB6_Color)	Outfit Neckwear B 6 Colour	Outfit Neckwear B 6	服装 颈部装饰 B 6	服裝 頸部裝飾 B 6														
CoffeeBean_3	(Mouth_Popcat1)	Popcat Emote Closed Mouth																	
CoffeeBean_11	(Rose)	Rose Emote Rose	Rose	玫瑰	玫瑰														
CoffeeBean_6	(HairbandBack2_Outline)	Hairband D 2 Outline	Hairband D Outline 2	发带 D 轮廓 2	髮帶 D 輪廓 2														
CoffeeBean_10	(Mecha2_Outline)	Mecha 2 Outline	Mecha Outline 2	机械 轮廓 2	機械 輪廓 2														
CoffeeBean_4	(SideHairA8_Gradient)	Hair Side 16 Colour	Hair Side 16	头发 侧面 16	頭髮 側面 16														
CoffeeBean_12	(NeckwearB7_Color)	Outfit Neckwear B 7 Colour	Outfit Neckwear B 7	服装 颈部装饰 B 7	服裝 頸部裝飾 B 7														
CoffeeBean_12	(Donut3)	Eat Donut Emote Donut 3	Donut 3	甜甜圈 3	甜甜圈 3														
CoffeeBean_12	(NeckwearB5_Outline)	Outfit Neckwear B 5 Outline	Outfit Neckwear B Outline 5	服装 颈部装饰 B 轮廓 5	服裝 頸部裝飾 B 輪廓 5														
CoffeeBean_12	(StickyNoteText)	Dum Emote Sticker Writing	Sticky Note Text	表情贴纸 便签 文字	表情貼紙 便利貼 文字														
CoffeeBean_3	(SideHairA6_Gradient)	Hair Side 12 Colour	Hair Side 12	头发 侧面 12	頭髮 側面 12														
CoffeeBean_5	(PonytailA4_Gradient)	Ponytail 8 Colour	Hair Ponytail 8	头发 单马尾 8	頭髮馬尾辮 8														
CoffeeBean_8	(Ahoge_A4_Color)	Hair Ahoge 4 Colour	Hair Ahoge 4	头发呆毛4	頭髮呆毛 4														
CoffeeBean_12	(Gill2_Color)	Gill 1 Mid Colour	Gill 1 .2	腮 1 .2	鰓 1 .2														
CoffeeBean_8	(FacialHair_A7_Outline)	Facial Hair A 7 Outline	Facial Hair A Outline 7	胡子 A 轮廓 7	鬍子 A 輪廓 7														
CoffeeBean_6	(HatC1_Color)	Hat 6 + 7 Colour	Hat 6 + 7	帽子 6 + 7	帽子 6 + 7														
CoffeeBean_3	(SideHairA5_Color)	Hair Side 9 Colour	Hair Side 9	头发 侧面 9	頭髮 側面 9														
CoffeeBean_9	(LightStickHandle)	Lightstick Emote Handle	Lightstick Handle	荧光棒 把手	螢光棒 把手														
CoffeeBean_5	(Eye1_Spiral)	Dizzy Emote Eye 1 Spiral	Eye Spiral 1 + 2	眼睛 圈圈 1 + 2	眼睛 圈圈 1 + 2														
CoffeeBean_5	(EasterEgg2)	Easter Emote Egg 2	Easter 2	复活节 2	復活節 2														
CoffeeBean_5	(EasterEgg1)	Easter Emote Egg 1	Easter 1	复活节 1	復活節 1														
CoffeeBean_5	(HairClip5_Outline)	Hair Clip 5 Outline	Hair Clip Outline 5	发夹 轮廓 5	髮夾 輪廓 5														
CoffeeBean_4	(SideHairA8_Color)	Hair Side 15 Colour	Hair Side 15	头发 侧面 15	頭髮 側面 15														
CoffeeBean_5	(HairHighlight2_Outline)	Hair Highlight 2 << + 2 >> Outline	Hair Highlight Outline 2 << + 2 >>	挑染 轮廓 2 << + 2 >>	挑染 輪廓 2 << + 2 >>														
CoffeeBean_12	(Ahoge_A2_Color)	Hair Ahoge 2 Colour	Hair Ahoge 2	头发呆毛2	頭髮呆毛 2														
CoffeeBean_4	(SideHairB7_Outline)	Hair Side 29 + 30 Outline	Hair Side Outline 29 + 30	头发 侧面 轮廓 29 + 30	頭髮 側面 輪廓 29 + 30														
CoffeeBean_12	(AlertBits_Outline)	Alert Bits Emote Outline	Sticker Alert Outline 6	表情贴纸 通知/提示 轮廓 6	表情貼紙 通知/提示 輪廓 6														
CoffeeBean_5	(SunGlasses_Frame)	Sunglasses Emote	Sunglasses	太阳镜	太陽鏡														
CoffeeBean_5	(PonytailA4_Color)	Ponytail 7 Colour	Hair Ponytail 7	头发 单马尾 7	頭髮馬尾辮 7														
CoffeeBean_10	(HairHighlight2_Color)	Hair Highlight 2 << + 2 >> Colour	Hair Highlight 2 << + 2 >>	挑染 2 << + 2 >>	挑染 2 << + 2 >>														
