SpriteSheet	SpriteName	English Naomi ver	EN Community Translation Ver	Zh-Hans	Zh-Hant	de	es	fr	hu	ja	ko	ru	pt-br	uk	it	th	tr	sv	sk
CoffeeBean_12	(Outer2_Outline)	Outfit Outer 2 Outline	Outfit Outer Outline 2	服装 外侧 轮廓 2	服裝 外側 輪廓 2														
CoffeeBean_9	(BackHair3_Outline)	Hair Rear 5 + 6 Outline	Hair Rear Outline 5 + 6	头发 后侧 轮廓 5 + 6	頭髮 後側 輪廓 5 + 6														
CoffeeBean_10	(Tongue_Shadow)	Tongue Shadow																	
CoffeeBean_10	(Blush)	Blush	Face Blush	脸红	臉紅														
CoffeeBean_8	(FacialHair_B5_Color)	Facial Hair B 5 Colour	Facial Hair B 5 	胡子 B 5 	鬍子 B 5 														
CoffeeBean_10	(Knife)	Knife Emote Knife	Drooling (Fork&Knife) 2	馋(刀叉) 2	嘴饞(刀叉) 2														
CoffeeBean_9	(HairBang3_Side_Outline)	Hair Bang 5 + 6 Outline	Hair Bang Outline 5 + 6	头发 刘海 轮廓 5 + 6	頭髮 瀏海 輪廓 5 + 6														
CoffeeBean_9	(HairBang5_Side_Outline)	Hair Bang 9 + 10 Outline	Hair Bang Outline 9 + 10	头发 刘海 轮廓 9 + 10	頭髮 瀏海 輪廓 9 + 10														
CoffeeBean_11	(Horn7_Outline)	Horn 7 Outline	Horn Outline 7	角 轮廓 7	角 輪廓 7														
CoffeeBean_11	(PopcornBucket)	Eat Popcorn Emote Bucket	Eat (Popcorn) 1	吃(爆米花) 1	喫(爆米花) 1														
CoffeeBean_8	(Pigtail_A3_Outline)	Hair Pigtail 5 + 6 Outline	Hair Pigtail Outline 5 + 6	头发 马尾 轮廓 5 + 6	頭髮 馬尾 輪廓 5 + 6														
CoffeeBean_7	(Collar7_Color)	Outfit Collar Inner 8 Colour	Outfit Collar Inner 8	服装 领子 里侧 8	服裝 領子 內側 8														
CoffeeBean_6	(Hairband3_Color)	Hairband B 1 Colour	Hairband B 1	发带 B 1	髮帶 B 1														
CoffeeBean_8	(Hammer)	Bonk Emote Hammer	Hammer	锤子	錘子														
CoffeeBean_3	(Eye_Dum_Closed)	Eye Dum Closed																	
CoffeeBean_10	(TailE3_Outline)	Tail 14 Outline	Tail Outline 14	尾巴 轮廓 14	尾巴 輪廓 14														
CoffeeBean_5	(HairBang6_Side_Outline)	Hair Bang 11 + 12 Outline	Hair Bang Outline 11 + 12	头发 刘海 轮廓 11 + 12	頭髮 瀏海 輪廓 11 + 12														
CoffeeBean_7	(HairBang2_Side_Outline)	Hair Bang 3 + 4 Outline	Hair Bang Outline 3 + 4	头发 刘海 轮廓 3 + 4	頭髮 瀏海 輪廓 3 + 4														
CoffeeBean_9	(HairShine7_Outline)	Hair Shine 14 Outline	Hair Shine Outline 14	头发 高光 轮廓 14	頭髮 高光 輪廓 14														
CoffeeBean_8	(EyepatchBandage_Color)	Eyepatch 5 + 6 Bandage Colour	Eyepatch 5 + 6	眼罩 5 + 6	眼罩 5 + 6														
CoffeeBean_8	(EyepatchBandage_Outline)	Eyepatch 5 + 6 Bandage Outline	Eyepatch Outline 5 + 6	眼罩轮廓 5 + 6	眼罩輪廓 5 + 6														
CoffeeBean_8	(HairbandBack1_Color)	Hairband D 1 Colour	Hairband D 1	发带 D 1	髮帶 D 1														
CoffeeBean_9	(Hairband4_Outline)	Hairband B 2 Outline	Hairband B Outline 2	发带 B 轮廓 2	髮帶 B 輪廓 2														
CoffeeBean_3	(KeyboardKeyA)	Type Emote Keyboard Front Keys	Type Normal 1	打字(普通) 1	打字(普通) 1														
CoffeeBean_2	(Thumb_Outline)	Hand Thumb Outline	Hand 1 .11	手 1 .11	手 1 .11														
CoffeeBean_9	(FacialHair_B3_Color)	Facial Hair B 3 Colour	Facial Hair B 3	胡子 B 3	鬍子 B 3														
CoffeeBean_5	(Hairband2_Outline)	Hairband A 2 Outline	Hairband A Outline 2	发带 A 轮廓 2	髮帶 A 輪廓 2														
CoffeeBean_8	(HairbandBack1_Outline)	Hairband D 1 Outline	Hairband D Outline 1	发带 D 轮廓 1	髮帶 D 輪廓 1														
CoffeeBean_11	(TailB3_Color)	Tail 5 Colour	Tail 5	尾巴 5	尾巴 5														
CoffeeBean_6	(FrameHair_A7_Outline)	Hair Framing 13 + 14 Outline	Hair Framing Outline 13 + 14	头发 脸颊 轮廓 13 + 14	頭髮 臉頰 輪廓 13 + 14														
CoffeeBean_10	(FrameHair_A10_Color)	Hair Framing 19 Colour	Hair Framing 19	头发 脸颊 19	頭髮 臉頰 19														
CoffeeBean_10	(FrameHair_A10_Gradient)	Hair Framing 20 Colour	Hair Framing 20	头发 脸颊 20	頭髮 臉頰 20														
CoffeeBean_6	(FrameHair_A11_Outline)	Hair Framing 21 + 22 Outline	Hair Framing Outline 21 + 22	头发 脸颊 轮廓 21 + 22	頭髮 臉頰 輪廓 21 + 22														
CoffeeBean_4	(FrameHair_A9_Color)	Hair Framing 17 Colour	Hair Framing 17	头发 脸颊 17	頭髮 臉頰 17														
CoffeeBean_10	(FacialHair_A3_Color)	Facial Hair A 3 Colour	Facial Hair A 3	胡子 A 3	鬍子 A 3														
CoffeeBean_8	(BackHair1_Color)	Hair Rear 1 Colour	Hair Rear 1	头发 后侧 1	頭髮 後側 1														
CoffeeBean_10	(Laptop)	Work Emote Laptop	Laptop	电脑	電腦														
CoffeeBean_9	(EyepatchString_Color)	Eyepatch 1 + 2 + 3 + 4 String Colour																	
CoffeeBean_10	(SignRound)	Score Emote Sign	Round Sign	圆形标牌	圓形標牌														
CoffeeBean_8	(HairBang1_Side_Color)	Hair Bang 1 Colour	Hair Bang 1	头发 刘海 1	頭髮 瀏海 1														
CoffeeBean_8	(HairBang4_Side_Gradient)	Hair Bang 8 Colour	Hair Bang 8	头发 刘海 8	頭髮 瀏海 8														
CoffeeBean_5	(HairBang5_Side_Color)	Hair Bang 9 Colour	Hair Bang 9	头发 刘海 9	頭髮 瀏海 9														
CoffeeBean_9	(BackHair2_Color)	Hair Rear 3 Colour	Hair Rear 3	头发 后侧 3	頭髮 後側 3														
CoffeeBean_5	(Pigtail_A6_Outline)	Hair Pigtail 11 + 12 Outline	Hair Pigtail Outline 11 + 12	头发 马尾 轮廓 11 + 12	頭髮 馬尾 輪廓 11 + 12														
CoffeeBean_8	(Pigtail_A7_Outline)	Hair Pigtail 13 + 14 Outline	Hair Pigtail Outline 13 + 14	头发 马尾 轮廓 13 + 14	頭髮 馬尾 輪廓 13 + 14														
CoffeeBean_9	(Watermelon)	Eat Watermelon Emote	Eat (Watermelon)	吃(西瓜)	喫(西瓜)														
CoffeeBean_10	(Cheek2)	Cheek 2	Cheek 2	脸颊 2	臉頰 2														
CoffeeBean_10	(HairClip6_Color)	Hair Clip 6 Colour	Hair Clip 6	发夹 6	髮夾 6														
CoffeeBean_12	(Spoon)	Spoon Emote Spoon	Arrive (with Spoon)	到达(拿勺子)	到達(拿湯匙)														
CoffeeBean_11	(Tape)	Tape Emote Tape	Tape	胶带	膠帶														
CoffeeBean_9	(HatB2_Outline)	Hat 4 Outline	Hat Outline 4	帽子 轮廓 4	帽子 輪廓 4														
CoffeeBean_3	(HairShine2_Outline)	Hair Shine 4 Outline	Hair Shine Outline 4	头发 高光 轮廓 4	頭髮 高光 輪廓 4														
CoffeeBean_8	(HairBang1_Side_Gradient)	Hair Bang 2 Colour	Hair Bang 2	头发 刘海 2	頭髮 瀏海 2														
CoffeeBean_9	(HairBang2_Side_Color)	Hair Bang 3 Colour	Hair Bang 3	头发 刘海 3	頭髮 瀏海 3														
CoffeeBean_5	(HairBang5_Side_Gradient)	Hair Bang 10 Colour	Hair Bang 10	头发 刘海 10	頭髮 瀏海 10														
CoffeeBean_9	(BackHair2_Gradient)	Hair Rear 4 Colour	Hair Rear 4	头发 后侧 4	頭髮 後側 4														
CoffeeBean_9	(FrameHair_B3_Outline)	Hair Framing 28 Outline	Hair Framing Outline 28	头发 脸颊 轮廓 28	頭髮 臉頰 輪廓 28														
CoffeeBean_10	(FaceFeatureC1)	Face Feature C 1	Face Feature C 1	脸部特征 C 1	臉部特徵 C 1														
CoffeeBean_7	(Pigtail_A8_Color)	Hair Pigtail 15 Colour	Hair Pigtail 15	头发 马尾 15	頭髮 馬尾 15														
CoffeeBean_11	(NeckwearB4_Color)	Outfit Neckwear B 4 Colour	Outfit Neckwear B 4	服装 颈部装饰 B 4	服裝 頸部裝飾 B 4														
CoffeeBean_10	(WingE1_Lower_Color)	Wing 8 Lower Colour	Wing 8 .3	翅膀 8 .3	翅膀 8 .3														
CoffeeBean_10	(PhoneScreen)	Phone Emote Item Screen	Phone Screen 3	手机 屏幕 3	手機 螢幕 3														
CoffeeBean_6	(AngrySteam)	Angry Emote Steam	Sticker Steam	表情贴纸 气	表情貼紙 氣														
CoffeeBean_10	(Outer1_Color)	Outfit Outer 1 Colour	Outfit Outer 1	服装 外侧 1	服裝 外側 1														
CoffeeBean_12	(SideHair_Branch_C2_Outline)	Hair Side Branch C 2 Outline	Hair Side Branch C Outline 2	头发 侧面分叉 C 轮廓 2	頭髮 側面分叉 C 輪廓 2														
CoffeeBean_5	(Hairband4_Color)	Hairband B 2 Colour	Hairband B 2	发带 B 2	髮帶 B 2														
CoffeeBean_8	(Pigtail_A3_Color)	Hair Pigtail 5 Colour	Hair Pigtail 5	头发 马尾 5	頭髮 馬尾 5														
CoffeeBean_9	(BackHair3_Gradient)	Hair Rear 6 Colour	Hair Rear 6	头发 后侧 6	頭髮 後側 6														
CoffeeBean_9	(HairBang2_Side_Gradient)	Hair Bang 4 Colour	Hair Bang 4	头发 刘海 4	頭髮 瀏海 4														
CoffeeBean_9	(PixelSunglasses)	Sunglasses Emote Pixel	Pixel Sun Glasses	像素太阳镜	畫素太陽鏡														
CoffeeBean_3	(HatB1_Color)	Hat 3 Colour	Hat 3	帽子 3	帽子 3														
CoffeeBean_5	(FacialHair_B3_Outline)	Facial Hair B 3 Outline	Facial Hair B Outline 3	胡子 B 轮廓 3	鬍子 B 輪廓 3														
CoffeeBean_5	(CapeBack1_Color)	Cape Back 1 Colour	Cape Back 1	披风 后 1	披風 後 1														
CoffeeBean_11	(HairShine1_Color)	Hair Shine 1 + 2 Colour	Hair Shine 1 + 2	头发 高光 1 + 2	頭髮 高光 1 + 2														
CoffeeBean_11	(Palmar_Color)	Greeting 1 Emote Hand Palm Colour	Hand 1 .12	手 1 .12	手 1 .12														
CoffeeBean_12	(Ahoge_B1_Color)	Hair Ahoge 5 Colour	Hair Ahoge 5	头发呆毛5	頭髮呆毛 5														
CoffeeBean_12	(HatA2_Outline)	Hat 2 Fluff Outline	Hat Outline 2	帽子 轮廓 2	帽子 輪廓 2														
CoffeeBean_9	(Pigtail_A5_Outline)	Hair Pigtail 9 + 10 Outline	Hair Pigtail Outline 9 + 10	头发 马尾 轮廓 9 + 10	頭髮 馬尾 輪廓 9 + 10														
CoffeeBean_9	(Pigtail_A3_Gradient)	Hair Pigtail 6 Colour	Hair Pigtail 6	头发 马尾 6	頭髮 馬尾 6														
CoffeeBean_9	(HairBang3_Side_Color)	Hair Bang 5 Colour	Hair Bang 5	头发 刘海 5	頭髮 瀏海 5														
CoffeeBean_9	(HairBang3_Side_Gradient)	Hair Bang 6 Colour	Hair Bang 6	头发 刘海 6	頭髮 瀏海 6														
CoffeeBean_9	(HairShine4_Outline)	Hair Shine 8 Outline	Hair Shine Outline 8	头发 高光 轮廓 8	頭髮 高光 輪廓 8														
CoffeeBean_8	(BackHair1_Gradient)	Hair Rear 2 Colour	Hair Rear 2	头发 后侧 2	頭髮 後側 2														
CoffeeBean_10	(SignSquare)	Raid Emote Sign	Square Sign	方形标牌	方形標牌														
CoffeeBean_10	(Horn4_Outline)	Horn 4	Horn 4	角 4	角 4														
CoffeeBean_12	(PonytailB1_Gradient)	Ponytail 12 Colour	Hair Ponytail 12	头发 单马尾 12	頭髮馬尾辮 12														
CoffeeBean_12	(PonytailB1_Color)	Ponytail 11 Colour	Hair Ponytail 11	头发 单马尾 11	頭髮馬尾辮 11														
CoffeeBean_9	(FrameHair_A1_Outline)	Hair Framing 1 + 2 Outline	Hair Framing Outline 1 + 2	头发 脸颊 轮廓 1 + 2	頭髮 臉頰 輪廓 1 + 2														
CoffeeBean_10	(Collar7_Outline)	Outfit Collar Inner 8 Outline	Outfit Collar Outline 8	服装 领子 轮廓 8	服裝 領子 輪廓 8														
CoffeeBean_10	(NeckwearA3_Outline)	Outfit Neckwear A 3 Outline	Outfit Neckwear A Outline 3	服装 颈部装饰 A 轮廓 3	服裝 頸部裝飾 A 輪廓 3														
CoffeeBean_6	(NeckwearA2_Outline)	Outfit Neckwear A 2 Outline	Outfit Neckwear A Outline 2	服装 颈部装饰 A 轮廓 2	服裝 頸部裝飾 A 輪廓 2														
CoffeeBean_10	(TailA1_Outline)	Tail 1 Outline	Tail Outline 1	尾巴 轮廓 1	尾巴 輪廓 1														
CoffeeBean_10	(Horn3_Outline)	Horn 3 Outline	Horn Outline 3	角 轮廓 3	角 輪廓 3														
CoffeeBean_8	(Pigtail_A8_Gradient)	Hair Pigtail 16 Colour	Hair Pigtail 16	头发 马尾 16	頭髮 馬尾 16														
CoffeeBean_10	(SunglassesReflection)	Sunglasses Emote Reflection	Sunglasses Reflection	太阳镜反光	太陽鏡反光														
CoffeeBean_9	(NeckwearA6_Color)	Outfit Neckwear A 6 Colour	Outfit Neckwear A 6	服装 颈部装饰 A 6	服裝 頸部裝飾 A 6														
CoffeeBean_11	(Tie2_Outline)	Outfit Neckwear C 2 Outline	Outfit Neckwear C Outline 2	服装 颈部装饰 C 轮廓 2	服裝 頸部裝飾 C 輪廓 2														
CoffeeBean_10	(Halo4_Color)	Halo 5 + 6 Colour	Halo 5 + 6	光环 5 + 6	光環 5 + 6														
CoffeeBean_9	(FrameHair_A6_Color)	Hair Framing 11 Colour	Hair Framing 11	头发 脸颊 11	頭髮 臉頰 11														
CoffeeBean_9	(Middle_Outline)	Hand Middle Outline	Hand 1 .13	手 1 .13	手 1 .13														
CoffeeBean_8	(RedPacketCoin2)	Red Packet 1 Emote Coin 2	RedPacket 3	红包 3	紅包 3														
CoffeeBean_8	(NeckwearB5_Color)	Outfit Neckwear B 5 Colour	Outfit Neckwear B 5	服装 颈部装饰 B 5	服裝 頸部裝飾 B 5														
CoffeeBean_8	(Eye1_HighlightCry)	Cry Emote Eye 1 Highlight																	
CoffeeBean_10	(Collar3_Color)	Outfit Collar Inner 3 Colour	Outfit Collar Inner 3	服装 领子 里侧 3	服裝 領子 內側 3														
CoffeeBean_9	(TailC3_Color)	Tail 10 Colour	Tail 10	尾巴 10	尾巴 10														
CoffeeBean_2	(ElfEar_Color)	Elf Ear Colour																	
CoffeeBean_12	(Surprise)	Surprise Emote Effect	Sticker Surprise	表情贴纸 惊吓	表情貼紙 驚嚇														
CoffeeBean_10	(Gill3_Outline)	Gill 1 Lower Outline	Gill Outline 1 .3	腮 轮廓 1 .3	鰓 輪廓 1 .3														
CoffeeBean_10	(Pigtail_A4_Gradient)	Hair Pigtail 8 Colour	Hair Pigtail 8	头发 马尾 8	頭髮 馬尾 8														
CoffeeBean_7	(Pigtail_A1_Color)	Hair Pigtail 1 Colour	Hair Pigtail 1	头发 马尾 1	頭髮 馬尾 1														
CoffeeBean_12	(Eye_U)	Sleep UU Emote Eye U																	
CoffeeBean_12	(Cockroach)	Bug Emote Bug Body	Cockroach	蟑螂	蟑螂														
CoffeeBean_9	(Halo3_Outline)	Halo 3 Outline	Halo Outline 3	光环 轮廓 3	光環 輪廓 3														
CoffeeBean_2	(Wing3_Outline)	Ear Wing 3 Outline	Ear Wing Outline 3	翅膀耳朵 轮廓 3	翅膀耳朵 輪廓 3														
CoffeeBean_10	(Halo4_Outline)	Halo 5 + 6 Outline	Halo Outline 5 + 6	光环 轮廓 5 + 6	光環 輪廓 5 + 6														
CoffeeBean_11	(Wing3_Color)	Ear Wing 3 Colour	Ear Wing 3	翅膀耳朵 3	翅膀耳朵 3														
CoffeeBean_11	(WingD1_Outline)	Wing 6 Outline	Wing Outline 6	翅膀 轮廓 6	翅膀 輪廓 6														
CoffeeBean_10	(FacialHair_A1_Color)	Facial Hair A 1 Colour	Facial Hair A 1	胡子 A 1	鬍子 A 1														
CoffeeBean_5	(Ghost)	Dead Emote Ghost	Sticker Ghost	表情贴纸 幽灵	表情貼紙 幽靈														
CoffeeBean_10	(Hairband7_Outline)	Hairband C 1 Outline	Hairband C Outline 1	发带 C 轮廓 1	髮帶 C 輪廓 1														
CoffeeBean_11	(Horn6_Outline)	Horn 6 Outline	Horn Outline 6	角 轮廓 6	角 輪廓 6														
CoffeeBean_11	(HairHighlight3_Outline)	Hair Highlight 3 << + 3 >> Outline	Hair Highlight Outline 3 << + 3 >>	挑染 轮廓 3 << + 3 >>	挑染 輪廓 3 << + 3 >>														
CoffeeBean_10	(Glasses_Frame2)	Glasses 2	Glasses 2	眼镜 2	眼鏡 2														
CoffeeBean_12	(NeckwearA4_Outline)	Outfit Neckwear A 4 Outline	Outfit Neckwear A Outline 4	服装 颈部装饰 A 轮廓 4	服裝 頸部裝飾 A 輪廓 4														
CoffeeBean_12	(Ear_Color)	Ear Colour	Ear	耳朵	耳朵														
CoffeeBean_11	(HatB2_Color)	Hat 4 Colour	Hat 4	帽子 4	帽子 4														
CoffeeBean_10	(FacialHair_A4_Outline)	Facial Hair A 4 Outline	Facial Hair A Outline 4	胡子 A 轮廓 4	鬍子 A 輪廓 4														
CoffeeBean_11	(PonytailB1_Outline)	Ponytail 11 + 12 Outline	Hair Ponytail Outline 11 + 12	头发 单马尾 轮廓 11 + 12	頭髮馬尾辮輪廓 11 + 12														
CoffeeBean_10	(Collar1_Color)	Outfit Collar Inner 1 Colour	Outfit Collar Inner 1	服装 领子 里侧 1	服裝 領子 內側 1														
CoffeeBean_6	(CapeBack3_Outline)	Cape Back 3 Outline	Cape Back | Cape Outline 3	披风 后 | 披风 轮廓 3	披風 後 | 鬥篷 輪廓 3														
CoffeeBean_10	(Pigtail_A1_Outline)	Hair Pigtail 1 + 2 Outline	Hair Pigtail Outline 1 + 2	头发 马尾 轮廓 1 + 2	頭髮 馬尾 輪廓 1 + 2														
CoffeeBean_10	(Tie2_Color)	Outfit Neckwear C 2 Colour	Outfit Neckwear C 2	服装 颈部装饰 C 2	服裝 頸部裝飾 C 2														
CoffeeBean_10	(TailE1_Color)	Tail 12 Colour	Tail 12	尾巴 12	尾巴 12														
CoffeeBean_10	(PatHand)	Pat Emote Hand	Pat Hand	摸头手	摸頭手														
CoffeeBean_7	(Main6_Outline)	Outfit Inner 6 Outline	Outfit Inner Outline 6	服装 里侧 轮廓 6	服裝 內側 輪廓 6														
CoffeeBean_7	(Pigtail_A6_Color)	Hair Pigtail 11 Colour	Hair Pigtail 11	头发 马尾 11	頭髮 馬尾 11														
CoffeeBean_11	(Card)	Reverse Emote Card	Reverse	反转	反向														
CoffeeBean_4	(FacialHair_A8_Color)	Facial Hair A 8 Colour	Facial Hair A 8	胡子 A 8	鬍子 A 8														
CoffeeBean_2	(CapeBack2_Outline)	Cape Back 2 Outline	Cape Back | Cape Outline 2	披风 后 | 披风 轮廓 2	披風 後 | 鬥篷 輪廓 2														
CoffeeBean_3	(CapeFront6_Color)	Cape Front 6 Colour	Cape Front 6	披风 前 6	披風 前 6														
CoffeeBean_4	(PonytailB2_Gradient)	Ponytail 14 Colour	Hair Ponytail 14	头发 单马尾 14	頭髮馬尾辮 14														
CoffeeBean_11	(Megaphone)	Megaphone Emote Megaphone	Megaphone	扩音器	擴音器														
CoffeeBean_10	(Glasses_Frame1)	Glasses 1	Glasses 1	眼镜 1	眼鏡 1														
CoffeeBean_10	(Pigtail_B1_Outline)	Hair Pigtail 17 + 18 Outline	Hair Pigtail Outline 17 + 18	头发 马尾 轮廓 17 + 18	頭髮 馬尾 輪廓 17 + 18														
CoffeeBean_2	(Eye1_Dollar)	Money Emote Eye 1 Dollar	Eye Dollar 1 + 2	眼睛 钱 1 + 2	眼睛 錢 1 + 2														
CoffeeBean_4	(FaceFeatureA1)	Face Feature A 1	Face Feature A 1	脸部特征 A 1	臉部特徵 A 1														
CoffeeBean_4	(Eye1_Heart)	Luv 1 Emote Eye 1 Heart	Eye Heart 1 + 2	眼睛 爱心 1 + 2	眼睛 愛心 1 + 2														
CoffeeBean_4	(Collar2_Color)	Outfit Collar Inner 2 Colour	Outfit Collar Inner 2	服装 领子 里侧 2	服裝 領子 內側 2														
CoffeeBean_10	(Pigtail_A6_Gradient)	Hair Pigtail 12 Colour	Hair Pigtail 12	头发 马尾 12	頭髮 馬尾 12														
CoffeeBean_5	(FrameHair_B3_Gradient)	Hair Framing 28 Colour	Hair Framing 28	头发 脸颊 28	頭髮 臉頰 28														
CoffeeBean_5	(FrameHair_B3_Color)	Hair Framing 27 Colour	Hair Framing 27	头发 脸颊 27	頭髮 臉頰 27														
CoffeeBean_9	(FrameHair_TopBack_Outline)	Frame Hair Top Outline																	
CoffeeBean_3	(Horn5_Color)	Horn 5 Colour	Horn 5	角 5	角 5														
CoffeeBean_12	(Fork)	Drooling Fork&Knife Emote Fork	Drooling (Fork&Knife) 1	馋(刀叉) 1	嘴饞(刀叉) 1														
CoffeeBean_11	(SteeringWheel)	Drive Emote Steering Wheel	Steering Wheel	方向盘	方向盤														
CoffeeBean_9	(Hairband1_Color)	Hairband A 1 Colour	Hairband A 1	发带 A 1	髮帶 A 1														
CoffeeBean_11	(HatB3_Outline)	Hat 5 Outline	Hat Outline 5	帽子 轮廓 5	帽子 輪廓 5														
CoffeeBean_10	(FrameHair_A4_Color)	Hair Framing 7 Colour	Hair Framing 7	头发 脸颊 7	頭髮 臉頰 7														
CoffeeBean_12	(NeckwearB3_Color)	Neckwear B 3 Colour	Outfit Neckwear B 3	服装 颈部装饰 B 3	服裝 頸部裝飾 B 3														
CoffeeBean_12	(HammerEffect1)	Bonk Emote Hammer Effect 1	Hammer 1	锤子 1	錘子 1														
CoffeeBean_12	(HairHighlight6_Color)	Hair Highlight Mid 5 + 6 Colour	Hair Highlight >< 5 + 6	挑染 >< 5 + 6	挑染 >< 5 + 6														
CoffeeBean_3	(Pigtail_B2_Outline)	Hair Pigtail 19 + 20 Outline	Hair Pigtail Outline 19 + 20	头发 马尾 轮廓 19 + 20	頭髮 馬尾 輪廓 19 + 20														
CoffeeBean_4	(WingF1_Upper_Outline)	Wing 9 Upper Outline	Wing Outline 9 .1	翅膀 轮廓 9 .1	翅膀 輪廓 9 .1														
CoffeeBean_3	(Pigtail_A2_Gradient)	Hair Pigtail 4 Colour	Hair Pigtail 4	头发 马尾 4	頭髮 馬尾 4														
CoffeeBean_9	(RedPacketCoin3)	Red Packet 1 Emote Coin 3	RedPacket 2	红包 2	紅包 2														
CoffeeBean_10	(FrameHair_A9_Gradient)	Hair Framing 18 Colour	Hair Framing 18	头发 脸颊 18	頭髮 臉頰 18														
CoffeeBean_10	(TrashBin)	Trash Bin Bottom	Trash Bin 1	垃圾桶 1	垃圾桶 1														
CoffeeBean_5	(FacialHair_A2_Outline)	Facial Hair A 2 Outline	Facial Hair A Outline 2	胡子 A 轮廓 2	反向														
CoffeeBean_8	(Tongue1)	Lick Emote Tongue Base																	
CoffeeBean_4	(HairShine4_Color)	Hair Shine 7 + 8 Colour	Hair Shine 7 + 8	头发 高光 7 + 8	頭髮 高光 7 + 8														
CoffeeBean_8	(Toilet)	Paid Break Emote Toilet	Toilet	马桶	馬桶														
CoffeeBean_11	(FrameHair_A5_Gradient)	Hair Framing 10 Colour	Hair Framing 10	头发 脸颊 10	頭髮 臉頰 10														
CoffeeBean_5	(CapeFront6_Outline)	Cape Front 6 Outline	Cape Front | Cape Outline 6	披风 前 | 披风 轮廓 6	披風 前 | 鬥篷 輪廓 6														
CoffeeBean_11	(FrameHair_A5_Color)	Hair Framing 9 Colour	Hair Framing 9	头发 脸颊 9	頭髮 臉頰 9														
CoffeeBean_10	(CapeBack2_Color)	Cape Back 2 Colour	Cape Back 2	披风 后 2	披風 後 2														
CoffeeBean_10	(SunGlasses_Lens)	Sunglasses Lens																	
CoffeeBean_7	(FrameHair_A9_Outline)	Hair Framing 17 + 18 Outline	Hair Framing Outline 17 + 18	头发 脸颊 轮廓 17 + 18	頭髮 臉頰 輪廓 17 + 18														
CoffeeBean_12	(Main8_Outline)	Outfit Inner 8 Outline	Outfit Inner Outline 8	服装 里侧 轮廓 8	服裝 內側 輪廓 8														
CoffeeBean_10	(Pigtail_A4_Color)	Hair Pigtail 7 Colour	Hair Pigtail 7	头发 马尾 7	頭髮 馬尾 7														
CoffeeBean_3	(KeyboardKeyB)	Type Emote Keyboard Back Keys	Type Normal 2	打字(普通) 2	打字(普通) 2														
CoffeeBean_10	(Tie3_Color)	Outfit Neckwear C 3 Colour	Outfit Neckwear C 3	服装 颈部装饰 C 3	服裝 頸部裝飾 C 3														
CoffeeBean_8	(Nose2)	Nose 2	Nose 2	鼻子 2	鼻子 2														
CoffeeBean_8	(FacialHair_A5_Color)	Facial Hair A 5 Colour	Facial Hair A 5	胡子 A 5	鬍子 A 5														
CoffeeBean_5	(EyepatchString_Outline)	Eyepatch 1 + 2 + 3 + 4 String Outline																	
CoffeeBean_3	(AlertCustom_Color)	Custom Alert Colour	Sticker Alert 2	表情贴纸 通知/提示 2	表情貼紙 通知/提示 2														
CoffeeBean_9	(AlertCustom_Outline)	Custom Alert Outline	Sticker Alert Outline 2	表情贴纸 通知/提示 轮廓 2	表情貼紙 通知/提示 輪廓 2														
CoffeeBean_2	(SideHair_Branch_A2_Outline)	Hair Side Branch A 2 Outline	Hair Side Branch A Outline 2	头发 侧面分叉 A 轮廓 2	頭髮 側面分叉 A 輪廓 2														
CoffeeBean_12	(Horn1_Color)	Horn 1 Colour	Horn 1	角 1	角 1														
CoffeeBean_11	(Outer3_Outline)	Outfit Outer 3 Outline	Outfit Outer Outline 3	服装 外侧 轮廓 3	服裝 外側 輪廓 3														
CoffeeBean_11	(SideHair_Branch_B1_Outline)	Hair Side Branch B 1 Outline	Hair Side Branch B Outline 1	头发 侧面分叉 B 轮廓 1	頭髮 側面分叉 B 輪廓 1														
CoffeeBean_12	(ElfEar_Outline)	Elf Ear Outline																	
CoffeeBean_7	(Outer4_Color)	Outfit Outer 4 Colour	Outfit Outer 4	服装 外侧 4	服裝 外側 4														
CoffeeBean_11	(Outer3_Color)	Outfit Outer 3 Colour	Outfit Outer 3	服装 外侧 3	服裝 外側 3														
CoffeeBean_12	(HairHighlight5_Outline)	Hair Highlight Mid 3 + 4 Outline	Hair Highlight >< Outline 3 +4	挑染 >< 轮廓 3 +4	挑染 >< 輪廓 3 +4														
CoffeeBean_12	(SideHair_Branch_C1_Outline)	Hair Side Branch C 1 Outline	Hair Side Branch C Outline 1	头发 侧面分叉 C 轮廓 1	頭髮 側面分叉 C 輪廓 1														
CoffeeBean_9	(Stylus)	Tablet Emote Pen	Stylus	手写笔	手寫筆														
CoffeeBean_12	(Tear2_Outline)	Cry 3 Emote Tear Outline	Eye Tear 3	眼睛 眼泪 3	眼睛 眼淚 3														
CoffeeBean_6	(Donut1)	Eat Donut Emote Donut 1	Donut 1	甜甜圈 1	甜甜圈 1														
CoffeeBean_11	(Donut2)	Eat Donut Emote Donut 2	Donut 2	甜甜圈 2	甜甜圈 2														
CoffeeBean_12	(SideHair_Branch_A1_Outline)	Hair Side Branch A 1 Outline	Hair Side Branch A Outline 1	头发 侧面分叉 A 轮廓 1	頭髮 側面分叉 A 輪廓 1														
CoffeeBean_11	(Eye1_Light)	Eye 1 Light	Eye Iris Light 1 + 2	眼睛 虹膜浅色 1 + 2	眼睛 虹膜淺色 1 + 2														
