SpriteName	Zh-Hans
LightStickLight	荧光棒
HatA1_Outline	帽子 轮廓 1 + 2
SideHairB1_Outline	头发 侧面 轮廓 17 + 18
HairClip3_Color	发夹 3
NeckwearA4_Color	服装 颈部装饰 A 4
NeckwearA5_Color	服装 颈部装饰 A 5
WingC1_Lower_Outline	翅膀 轮廓 5 .2
FrameHair_A2_Outline	头发 脸颊 轮廓 3 + 4
HatB1_Outline	帽子 轮廓 3
MagicWand	魔法
HairBang2_Middle_Color	头发 刘海 >< 3
HairBang2_Middle_Gradient	头发 刘海 >< 4
Hairband5_Color	发带 B 3
TailE2_Outline	尾巴 轮廓 13
Brow5	眉毛 5
Tie1_Color	服装 颈部装饰 C 1
WingF1_Lower_Color	翅膀 9 .2
FrameHair_A4_Outline	头发 脸颊 轮廓 7 + 8
PryBar	撬棍
FacialHair_A2_Color	胡子 A 2
Outer2_Color	服装 外侧 2
Tie3_Outline	服装 颈部装饰 C 轮廓 3
TailB4_Outline	尾巴 轮廓 6
HairShine3_Outline	头发 高光 轮廓 6
AlertHeart_Color	表情贴纸 通知/提示 1
WingD2_Lower_Outline	翅膀 轮廓 7 .2
SideHairA1_Color	头发 侧面 1
HatA1_Color	帽子 1 + 2
SideHairB3_Color	头发 侧面 21
FrameHair_A11_Gradient	头发 脸颊 22
FrameHair_A11_Color	头发 脸颊 21
SideHairB4_Gradient	头发 侧面 24
SideHairA4_Outline	头发 侧面 轮廓 7 + 8
SideHairA1_Gradient	头发 侧面 2
CapeFront2_Color	披风 前 2
CapeFront5_Color	披风 前 5
CapeFront2_Outline	披风 前 | 披风 轮廓 2
SideHairB3_Outline	头发 侧面 轮廓 21 + 22
SideHairB4_Color	头发 侧面 23
SideHairB5_Gradient	头发 侧面 26
TailB5_Color	尾巴 7
WingC1_Upper_Outline	翅膀 轮廓 5 .1
Mecha3_Outline	机械 轮廓 3
HairHighlight1_Color	挑染 1 << + 1 >> 
LoveLetter	情书
Hairband6_Outline	发带 B 轮廓 4
MusicalNote1	音乐 音符 1
PiercingA2_Outline	耳钉 轮廓 2
StrawLiquid_Outline	饮料杯 2
Eyepatch2_Color	眼罩 3 + 4
AnimalEar2_Front_Outline	兽耳轮廓 2
AnimalEar1_Fur_Color	兽耳毛 1
EarringB3_Color	耳环 8
Pigtail_A7_Gradient	头发 马尾 14
AnimalEar5_Color	兽耳 5
EarringB4_Color	耳环 4
HairClip2_Color	发夹 2
Glasses_Lens2	眼镜 Lens 2
HairBang6_Side_Gradient	头发 刘海 12
HairBang3_Middle_Outline	头发 刘海 >< 轮廓 5 + 6
AnimalEar9_Outline	兽耳轮廓 9
HatB3_Color	帽子 5
PiercingA1_Outline	耳钉 轮廓 1
Brow8	眉毛 8
HairClip1_Outline	发夹 轮廓 1
Eyepatch1_Color	眼罩 1 + 2
NeckwearA1_Color	服装 颈部装饰 A 1
Eye1_Eyelash	眼睛 睫毛 1 + 2
ShakeLine3	害怕 3
WingE1_Upper_Outline	翅膀 轮廓 8 .1
PopperConfetti3	彩纸 3
Star	表情贴纸 星星
HairBang1_Middle_Outline	头发 刘海 >< 轮廓 1 + 2
SideHairA4_Gradient	头发 侧面 8
PiercingA3_Outline	耳钉 轮廓 3
FaceFeatureB4	脸部特征 B 4
EarringA3_Outline	耳环 轮廓 3
TailF4_Color	尾巴 18
AnimalEar2_Fur_Color	兽耳毛 2
AnimalEar3_Outline	兽耳轮廓 3
Straw	饮料杯 4
AnimalEar8_Outline	兽耳轮廓 8
AnimalEar6_Color	兽耳 6
TailF3_Color	尾巴 17
EarringB5_Outline	耳环 轮廓 10
HairClip12_Color	发夹 12
Collar6_Color	服装 领子 里侧 6 + 7
AnimalEar6_Outline	兽耳轮廓 6
AnimalEar3_Color	兽耳 3
Brow3	眉毛 3
Glasses_Lens3	眼镜 Lens 3
EarringB5_Color	耳环 10
LaptopLight2	电脑 屏幕光 2
